,Unnamed: 0,schedule,fcj,csv,total_difference,worst_manoeuvre,worst_elm,worst_elm_difference,whiten,scaling,dtw_dist,heading,speed,exponent
61,61,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_raw_measure.csv,43.83100000000006,loop,157,8.158999999999992,False,measure,3179.5690309566444,3.6770107438445168,9.290213180851438,0.1734721516426604
62,62,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_whi_global.csv,20.48700000000006,loop,159,2.6000000000000227,True,global,8333.331506639479,3.6770107438445168,9.290213180851438,0.1734721516426604
63,63,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_raw_global.csv,14.401999999999894,fight,117,2.3999999999999773,False,global,3157.9248628967684,3.6770107438445168,9.290213180851438,0.1734721516426604
64,64,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_whi_measure.csv,34.772999999999946,loop,160,6.399000000000001,True,measure,7729.957407886704,4.601390386717899,5.029098720568146,0.0852832746657033
65,65,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_raw_measure.csv,33.85199999999975,loop,157,6.840000000000032,False,measure,3524.312126229394,4.601390386717899,5.029098720568146,0.0852832746657033
66,66,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_whi_global.csv,24.314000000000057,imm,66,2.4399999999999977,True,global,7407.205147986935,4.601390386717899,5.029098720568146,0.0852832746657033
67,67,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000026_raw_global.csv,18.12700000000005,imm,66,2.4399999999999977,False,global,3538.3468062949937,4.601390386717899,5.029098720568146,0.0852832746657033
68,68,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_whi_measure.csv,65.12800000000024,sFin,56,8.681000000000012,True,measure,6654.326199420103,5.067384432787026,3.718025509173623,0.1787426069905687
69,69,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_raw_measure.csv,66.1240000000003,sFin,56,8.681000000000012,False,measure,2751.322273279948,5.067384432787026,3.718025509173623,0.1787426069905687
70,70,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_whi_global.csv,97.8550000000001,aV,140,25.400000000000038,True,global,6947.324144775719,5.067384432787026,3.718025509173623,0.1787426069905687
71,71,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000004_raw_global.csv,55.57400000000004,sFin,56,8.681000000000012,False,global,2662.9446381303587,5.067384432787026,3.718025509173623,0.1787426069905687
72,72,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_whi_measure.csv,23.47899999999987,loop,122,4.399000000000001,True,measure,7252.768936496138,3.0576848985900096,5.29674122036181,0.1041224433832454
73,73,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_raw_measure.csv,63.04899999999982,circle,25,17.359999999999985,False,measure,3634.391503627767,3.0576848985900096,5.29674122036181,0.1041224433832454
74,74,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_whi_global.csv,22.87600000000009,v8,53,4.159999999999997,True,global,6680.9145534679255,3.0576848985900096,5.29674122036181,0.1041224433832454
75,75,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059_raw_global.csv,17.64400000000002,v8,53,4.159999999999997,False,global,2919.326573973882,3.0576848985900096,5.29674122036181,0.1041224433832454
76,76,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_whi_measure.csv,63.23800000000027,loop,3,10.0,True,measure,8569.465043211256,3.0878181018976605,10.589775071066976,0.2902619297829837
77,77,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_raw_measure.csv,86.88200000000036,h8,77,13.760999999999996,False,measure,4800.7248160583,3.0878181018976605,10.589775071066976,0.2902619297829837
78,78,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_whi_global.csv,38.08000000000007,av,180,8.480000000000018,True,global,8438.798114791713,3.0878181018976605,10.589775071066976,0.2902619297829837
79,79,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077_raw_global.csv,16.88000000000021,ft,132,2.6000000000000227,False,global,4054.154484648544,3.0878181018976605,10.589775071066976,0.2902619297829837
80,80,P21,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429.json,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429_whi_measure.csv,28.95200000000001,aV,140,3.7199999999999696,True,measure,6267.208730200912,3.0558829143660997,4.313326356414214,0.1332512238752134
81,81,P21,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429.json,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429_raw_measure.csv,25.875000000000234,v8,1,2.119,False,measure,2786.7687177783114,3.0558829143660997,4.313326356414214,0.1332512238752134
82,82,P21,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429.json,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429_whi_global.csv,25.671,hB,83,2.637999999999977,True,global,6353.597094033495,3.0558829143660997,4.313326356414214,0.1332512238752134
83,83,P21,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429.json,AUS_NSW_QMAC_1_F3A_P21_21_11_08_SL 00000429_raw_global.csv,16.03300000000013,com,108,1.7199999999999704,False,global,2729.381834573924,3.0558829143660997,4.313326356414214,0.1332512238752134
84,84,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005_whi_measure.csv,73.99099999999981,com,114,11.08000000000004,True,measure,6395.326410404766,5.3941968446876425,6.582004887869575,0.0430819999377422
85,85,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005_raw_measure.csv,72.67799999999977,com,114,10.880000000000052,False,measure,2677.783359314894,5.3941968446876425,6.582004887869575,0.0430819999377422
86,86,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005_whi_global.csv,64.43999999999966,com,114,10.68100000000004,True,global,6089.9115439083125,5.3941968446876425,6.582004887869575,0.0430819999377422
87,87,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000005_raw_global.csv,61.92099999999967,com,114,10.560000000000002,False,global,2904.7211202112862,5.3941968446876425,6.582004887869575,0.0430819999377422
88,88,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027_whi_measure.csv,51.146000000000086,loop,160,7.6790000000000305,True,measure,9686.360515139802,4.536692877803024,5.407639642435944,0.0264162601590838
89,89,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027_raw_measure.csv,47.0720000000002,loop,160,9.04000000000002,False,measure,4208.538704308385,4.536692877803024,5.407639642435944,0.0264162601590838
90,90,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027_whi_global.csv,19.20099999999983,loop,159,2.838999999999998,True,global,9832.995485642632,4.536692877803024,5.407639642435944,0.0264162601590838
91,91,P23,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027.json,AUS_VIC_GMAC_EW_F3A_P23_21_11_08_00000027_raw_global.csv,20.26799999999972,loop,159,2.838999999999998,False,global,4389.223205342527,4.536692877803024,5.407639642435944,0.0264162601590838
92,92,F21,manual_F3A_F21_21_09_17_00000066.json,manual_F3A_F21_21_09_17_00000066_whi_measure.csv,36.84199999999981,spin,126,3.920000000000016,True,measure,8272.360743676925,1.140211141310273,6.448661457359773,0.44450771903129
93,93,F21,manual_F3A_F21_21_09_17_00000066.json,manual_F3A_F21_21_09_17_00000066_raw_measure.csv,223.29000000000005,square,155,16.160000000000025,False,measure,4295.569074952078,1.140211141310273,6.448661457359773,0.44450771903129
94,94,F21,manual_F3A_F21_21_09_17_00000066.json,manual_F3A_F21_21_09_17_00000066_whi_global.csv,24.966999999999985,spin,126,3.879999999999996,True,global,7512.134246647831,1.140211141310273,6.448661457359773,0.44450771903129
95,95,F21,manual_F3A_F21_21_09_17_00000066.json,manual_F3A_F21_21_09_17_00000066_raw_global.csv,252.3249999999997,square,163,21.12099999999998,False,global,4184.92726628391,1.140211141310273,6.448661457359773,0.44450771903129
96,96,P21,manual_F3A_P21_21_09_15_00000048.json,manual_F3A_P21_21_09_15_00000048_whi_measure.csv,31.124000000000198,aV,140,7.800999999999988,True,measure,6588.812565417236,2.457088043538868,2.731560779509874,-0.1054145803241928
97,97,P21,manual_F3A_P21_21_09_15_00000048.json,manual_F3A_P21_21_09_15_00000048_raw_measure.csv,33.03900000000017,aV,140,9.640999999999964,False,measure,2698.539449600434,2.457088043538868,2.731560779509874,-0.1054145803241928
98,98,P21,manual_F3A_P21_21_09_15_00000048.json,manual_F3A_P21_21_09_15_00000048_whi_global.csv,17.400000000000105,rollC,89,4.1200000000000045,True,global,6293.977896757711,2.457088043538868,2.731560779509874,-0.1054145803241928
99,99,P21,manual_F3A_P21_21_09_15_00000048.json,manual_F3A_P21_21_09_15_00000048_raw_global.csv,18.63900000000004,rollC,89,4.0,False,global,2715.3329847386653,2.457088043538868,2.731560779509874,-0.1054145803241928
100,100,P21,manual_F3A_P21_21_08_04_00000162.json,manual_F3A_P21_21_08_04_00000162_whi_measure.csv,68.31800000000003,aV,140,28.561000000000035,True,measure,7253.087447373275,3.113655769489914,5.261128444835633,0.0748115865216843
101,101,P21,manual_F3A_P21_21_08_04_00000162.json,manual_F3A_P21_21_08_04_00000162_raw_measure.csv,23.75699999999988,aV,140,7.721000000000004,False,measure,2552.9413743656987,3.113655769489914,5.261128444835633,0.0748115865216843
102,102,P21,manual_F3A_P21_21_08_04_00000162.json,manual_F3A_P21_21_08_04_00000162_whi_global.csv,52.15900000000006,aV,140,28.44,True,global,7351.020256436787,3.113655769489914,5.261128444835633,0.0748115865216843
103,103,P21,manual_F3A_P21_21_08_04_00000162.json,manual_F3A_P21_21_08_04_00000162_raw_global.csv,14.4759999999999,tHat,91,3.6790000000000314,False,global,2474.7408142743125,3.113655769489914,5.261128444835633,0.0748115865216843
104,104,P23,manual_F3A_P23_21_09_23_00000071.json,manual_F3A_P23_21_09_23_00000071_whi_measure.csv,33.086000000000055,imm,66,7.47999999999999,True,measure,7846.636216156733,2.9875522464984114,6.1265102875359005,-0.0145188334969526
105,105,P23,manual_F3A_P23_21_09_23_00000071.json,manual_F3A_P23_21_09_23_00000071_raw_measure.csv,35.71900000000005,imm,66,7.47999999999999,False,measure,3003.643390675622,2.9875522464984114,6.1265102875359005,-0.0145188334969526
106,106,P23,manual_F3A_P23_21_09_23_00000071.json,manual_F3A_P23_21_09_23_00000071_whi_global.csv,16.166000000000103,figM,104,2.920000000000016,True,global,7787.824969348311,2.9875522464984114,6.1265102875359005,-0.0145188334969526
107,107,P23,manual_F3A_P23_21_09_23_00000071.json,manual_F3A_P23_21_09_23_00000071_raw_global.csv,12.7650000000001,imm,66,1.5989999999999895,False,global,3046.5329173041328,2.9875522464984114,6.1265102875359005,-0.0145188334969526
